Référence	ContexteGauche	Pivot	ContexteDroit
roland, p. 50, v. 366	. » Entret en sa veie, si s'est achiminez. AOI. Guenes	chevalchet_|chevaucher|_VERcjg	suz une olive halte, Asemblet s'est as sarrazins messages ; Mais Blancandrins ki
roland, p. 52, v. 402	; Cunquerrat li les teres d'ici qu'en Orient. » AOI. Tant	chevalcherent_|chevaucher|_VERcjg	Guenes e Blancandrins Que l'un a l'altre la sue feit plevit Que il
roland, p. 52, v. 405	l'altre la sue feit plevit Que il querreient que Rollant fust ocis. Tant	chevalcherent_|chevaucher|_VERcjg	e veies e chemins Qu'en Sarraguce descendent suz un if. Un faldestoet out
roland, p. 56, v. 480	. Vus n'i avrez palefreid ne destrer, Ne mul ne mule que puissez	chevalcher_|chevaucher|_VERinf	; Getet serez sur un malvais sumer. Par jugement iloec perdrez le chef.
roland, p. 72, v. 706	violees. Ço dit li reis que sa guere out finee. Vers dulce France	chevalchet_|chevaucher|_VERcjg	l'emperere. Li quens Rollant ad l'enseigne fermee, En sum un tertre
roland, p. 72, v. 710	tertre cuntre le ciel levee. Franc se herbergent par tute la cuntree. Paien	chevalchent_|chevaucher|_VERcjg	par cez greignurs valees, Halbercs vestuz e trés bien Healmes lacez e ceintes lur
roland, p. 74, v. 739	noit e apert la clere albe. Par mi cel host Li empereres mult fierement	chevalchet_|chevaucher|_VERcjg	. « Seignurs barons, dist li emperere Carles, Veez les porz e les
roland, p. 74, v. 757	tient, Men escïentre, palefreid ne destrer, Ne mul ne mule que deiet	chevalcher_|chevaucher|_VERinf	, Ne n'i perdrat ne runcin ne sumer Que as espees ne seit einz
roland, p. 80, v. 831	France ; Suz sun mantel en fait la cuntenance. Dejuste lui li dux Neimes	chevalchet_|chevaucher|_VERcjg	E dit al rei : « De quei avez pesance ? » Carles respunt :
roland, p. 82, v. 855	tur ; N'i ad paien nel prit e ne l'aort. Puis si	chevalchent_|chevaucher|_VERcjg	par mult grant cuntençun La tere Certaine e les vals e les munz : De
roland, p. 92, v. 1001	vermeilz. Laissent les muls e tuz les palefreiz, Es destrers muntent, si	chevalchent_|chevaucher|_VERcjg	estreiz. Clers fut li jurz e bels fut li soleilz ; N'unt guarnement
roland, p. 98, v. 1098	. Bon sunt li cunte e lur paroles haltes. Felun paien par grant irur	chevalchent_|chevaucher|_VERcjg	. Dist Oliver : « Rollant, veez en alques : Cist nus sunt prés
roland, p. 102, v. 1175	culpes li bers. Cil ki la sunt ne funt mie a blasmer. Kar	chevalchez_|chevaucher|_VERcjg	a quanque vos puëz ! Seignors baruns, el camp vos retenez ! Pur Deu
roland, p. 102, v. 1183	. Ki dunc oïst Munjoie demander, De vasselage li poüst remembrer. Puis si	chevalchent_|chevaucher|_VERcjg	, Deus ! par si grant fiertet ! Brochent ad ait pur le plus tost
roland, p. 104, v. 1189	les vus ajustez. Li niés Marsilie, il ad num Aëlroth ; Tut premereins	chevalchet_|chevaucher|_VERcjg	devant l'ost. De noz Franceis vait disant si mals moz : « Feluns
roland, p. 114, v. 1338	glutun n'ert bataille oi vencue. » Li quens Rollant par mi le champ	chevalchet_|chevaucher|_VERcjg	, Tient Durendal, ki ben trenchet e taillet, Des Sarrazins lur fait mult
roland, p. 114, v. 1351	! » Munjoie escriet, ço est l'enseigne Carle. AOI. E Oliver	chevalchet_|chevaucher|_VERcjg	par l'estor, Sa hanste est fraite, n'en ad que un trunçun
roland, p. 122, v. 1469	gent le martirie, Si fait suner ses cors e ses buisines, Puis si	chevalchet_|chevaucher|_VERcjg	od sa grant ost banie. Devant chevalchet un Sarrazin, Abisme : Plus fel
roland, p. 122, v. 1470	cors e ses buisines, Puis si chevalchet od sa grant ost banie. Devant	chevalchet_|chevaucher|_VERcjg	un Sarrazin, Abisme : Plus fel de lui n'out en sa cumpagnie.
roland, p. 132, v. 1662	tue hardie. » Cel nen i ad ki ne criet : « Marsilie !	Cevalche_|chevaucher|_VERcjg	, rei, Bosuign avum d'aïe ! » La bataille est e merveillose e
roland, p. 140, v. 1783	gabant. Suz cel n'ad gent ki l'osast querre en champ. Car	chevalcez_|chevaucher|_VERcjg	! Pur qu'alez arestant ? Tere Major mult est loinz ça devant. »
roland, p. 142, v. 1812	sunt peinz a flurs, E cil espiez, cil oret gunfanun. Li empereres	cevalchet_|chevaucher|_VERcjg	par irur E li Franceis dolenz e curoçus ; N'i ad celoi ki durement
roland, p. 144, v. 1834	cil graisle e derere e devant E tuit rachatent encuntre l'olifant. Li empereres	chevalchet_|chevaucher|_VERcjg	ireement E li Franceis curuçus e dolent ; N'i ad celoi n'i plurt
roland, p. 144, v. 1842	Demurent trop, n'i poedent estre a tens. AOI. Par grant irur	chevalchet_|chevaucher|_VERcjg	li reis Charles ; Desur sa brunie li gist sa barbe blanche. Puignent ad
roland, p. 148, v. 1920	nes e lees les oreilles, E sunt ensemble plus de cinquante milie. Icil	chevalchent_|chevaucher|_VERcjg	fierement e a ire, Puis escrient l'enseigne paienime. Ço dist Rollant :
roland, p. 184, v. 2428	les granz chemins puldrus, Qu'asez i ad de la gent paienur. Car	chevalchez_|chevaucher|_VERcjg	! Vengez ceste dulor ! - E ! Deus ! dist Carles, ja sunt
roland, p. 184, v. 2444	retienent des lur. AOI. Li empereres fait ses graisles suner, Puis si	chevalchet_|chevaucher|_VERcjg	od sa grant ost li ber. De cels d'Espaigne unt lur les dos
roland, p. 184, v. 2454	ki od lui soelt parler, Isnelement si li ad comandet : « Charle,	chevalche_|chevaucher|_VERcjg	, car tei ne falt clartet. La flur de France as perdut, ço
roland, p. 198, v. 2686	respundent : « Sire, mult dites bien. » Dist Baligant : « Car	chevalchez_|chevaucher|_VERcjg	, barun ! L'un port le guant, li alte le bastun ! »
roland, p. 198, v. 2689	! » E cil respundent : « Cher sire, si ferum. » Tant	chevalcherent_|chevaucher|_VERcjg	que en Sarraguce sunt. Passent.X. portes, traversent.IIII. punz, Tutes les
roland, p. 204, v. 2806	: « Baruns, ne vos targez ! Eissez des nefs, muntez, si	cevalciez_|chevaucher|_VERcjg	! S'or ne s'en fuit Karlemagne li veilz, Li reis Marsilie enqui
roland, p. 204, v. 2812	nefs se sunt eissut, Puis sunt muntez es chevals e es muls, Si	chevalcherent_|chevaucher|_VERcjg	, que fereient il plus ? Li amirals, ki trestut les esmut, Sin
roland, p. 206, v. 2818	en un sun destrer brun ; Ensembl'od lui em meinet.IIII. dux. Tant	chevalchat_|chevaucher|_VERcjg	qu'en Saraguce fut. A un perron de marbre est descenduz E quatre cuntes
roland, p. 206, v. 2842	del paleis descent, Muntet el ceval, vient a sa gent puignant. Tant	chevalchat_|chevaucher|_VERcjg	qu'il est premers devant, D'ures ad altres si se vait escriant :
roland, p. 208, v. 2851	desarment par tute l'ost li altre. Puis sunt muntet, par grant vertut	chevalchent_|chevaucher|_VERcjg	Cez veiez lunges e cez chemins mult larges, Si vunt vedeir le merveillus damage
roland, p. 216, v. 2979	, nen est fins que t'en alges ! Veiz Baligant, ki aprés tei	chevalchet_|chevaucher|_VERcjg	. Granz sunt les oz qu'il ameinet d'Arabe. Encoi verrum se tu
