UUID,REF,LCX,KEYWORDS,RCX,lemma_bfm,pos_bfm
7c369101-2047-4867-8088-2b92251c078c,"AlexisRaM, p. 30r, v. 82","les volt mener . Dreit a Lalice , ço fut citét mult bele , iloec",arivet,"sainement la nacele , dunc an eisit danz Alexis acertes , ço ne sai jo",VERcjg,|arriver|
311a120e-c721-431d-8af0-3657c9d9a320,"AlexisRaM, p. 31r, v. 193","une nef , ourent lur vent , laisent curre par mer , andreit Tarson espeiret",ariver,", mais ne puet estra , ailurs l' estot aler , andreit a Rome les",VERinf,|arriver|
6df36a85-175c-4817-8751-c88ab72010b4,"AlexisRaM, p. 31r, v. 197","li orez . A un des porz ki plus est pres de Rome , iloec",arivet,"la nef a icel saint home . Quant vit sun regne , durement s' en",VERcjg,|arriver|
c85671da-7c2c-4582-805c-1544f5c0fe9b,"bestiaire, p. 71, v. 1923","si esterat . Li notuniers la veit , Quide que ille seit ; Iloc vait",ariver,", Sun cunrei aprester . Li balains le fu sent E la nef e la",VERinf,|arriver|
1dd86228-fdc6-4b5a-ba47-4f58a2aac54b,"gormont, p. 38, v. 588","fel Margari , fel peneiez pur repentir , ça sunt les chevaliers hardiz . Mar",arivames,en Pontif pur lur honors sur eus seisir . Mut nus avez del tut traiz,VERcjg,|arriver|
7b5e27b6-fd5a-4a6b-8bcd-4abc21a25d55,"gormont, p. 40, v. 607",en enchauça essez ; se ne fussent barges e nes k' il laissierent a l',ariver,", ja n' en peust un eschaper . Si cum li cers se fuit la",VERinf,|ariver|
0eb7b8f2-ccbe-4566-a850-c8875ede9f1f,"guill1, p. 5, v. 60",", Tedbald , ço dist Esturmi ; En ceste terre al regne , u que",arivent,"paen u Arabit , Si mandent Willame le marchis ; Si de tes homes i",VERcjg,|ariver|arriver|
f590e51f-106a-4623-bc65-225e02ef5e3c,"ChronSMichelBo, p. 24r, v. 1385","que , od navile , Ou grant gent , od ne sai quant mile ,",Ariva,"Rous en Normendie , De Danemarche que out guerpie . Par Seigne entra , noant",VERcjg,|ariva|
3dc2e395-d4f3-4a41-8d4d-55ebad61e947,"brut2, p. 682, v. 13079","ses nefs eschiper ; Tant mena gent , nes sai numbrer . A Romenel volt",ariver,"E la rova ses nefs turner , Mes ainz qu' il fust a terre issuz",VERinf,|arriver|
0b39cf42-4c1d-4a81-b6ff-ff62536804cf,"brut2, p. 682, v. 13085","ses humes delivrement , Ki od lui sunt par serrement . Cil des nefs d'",ariver,"s' esforcent , Cil de la terre lur deforcent . Mult s' essaient de ambes",VERinf,|arriver|
176ebe05-24ea-45cf-bd6f-3f5495651759,"brut2, p. 741, v. 14170","ot grant compainie ; Suvent se mist siglant en mer , Suvent as porz volt",ariver,; Mes Edwine devant veneit Ki la terre li defendeit ; Kar li devins tut,VERinf,|arriver|
948c8b0a-09f0-4c1c-a92a-98f611d2a183,"brut2, p. 742, v. 14174",veneit Ki la terre li defendeit ; Kar li devins tut devinot U e quant,ariver,quidot . Chadwalein ot grant marrement Que returné fud tant suvent ; De sa terre,VERinf,|arriver|
817838fa-6621-4f89-9ddc-404f09e16120,"brut2, p. 742, v. 14188",", que mein que seir , Unt tant curu e tant siglé A Gernerui sunt",arivé,", Un isle vers soleil culchant ; Ço qui que d' iloc en avant N'",VERppe,|arriver|
444837d2-7d09-49a6-82e3-36c3be72ffab,"brut2, p. 744, v. 14225","il pot sus lever , Ses nefs fist mettrë a la mer , A Kidalet",ariva,"dreit , Ki a cel tens cité esteit Entre Dinan e la marine , Encore",VERcjg,|arriver|
96c3654a-c7aa-45a8-b02b-aee4c81a3848,"brut2, p. 746, v. 14254",. Brien se mist en aventure ; A Barbeflué en mer entra E a Suthamtune,ariva,. Ses dras pur plus malveis chanja E de malveis s' aparailla ; Un bastun,VERcjg,|arriver|
21f2266f-2e4c-42a8-b0ea-06d1bfdc7769,"eneas1, p. 10, v. 306",que mers parfonde nes tranglote . Donc a Eneas asanblé çaus qui o lui sont,arivé,; nan i ot de sa compaignie ne mes que la tierce partie ; çaus,VERppe,|arriver|
804d3cd8-64d3-4e1b-bb2b-71bf4d3b646b,"eneas1, p. 12, v. 361",", qui lo païs aillent cerchier et se li sachent renoncier an quel païs sont",arivé,", se home i a ne grain de blé . D' iluec tornent li mesagier",VERppe,|arriver|
900a3079-711b-4e3e-92af-0f081dca618d,"eneas1, p. 13, v. 391","grant tresor , pailes et dras , argent et or . An cel païs est",arivee,"; au prince vint de la contree , par grant angin li ala querre qu'",VERppe,|arriver|
98dbaf8b-745d-47c7-821b-70a2665f3b61,"eneas1, p. 19, v. 589",si ne savon s' il sont ancor noiés ou non . La menor part est,arivee,"molt pres de ci en ta contree ; Eneas iluec est remés , ou il",VERppe,|arriver|
7b2194bc-dcb0-4e61-af63-2dcc013d23a2,"eneas1, p. 57, v. 1849","failloit nul jor lor guerre , ainz qu' il venist an ceste terre ; quant",ariva,"an cest païs , esgarez ert . Que fole fis , que gel reçui ansanble",VERcjg,|arriver|
6fa4989f-b80f-4042-bdab-36058121ed58,"eneas1, p. 69, v. 2260",sage prestesse . Et nuit et jor ont tant siglé que a cel port sont,arivé,". Eneas ist des nes a terre , puis est alez Sibille querre ; sol",VERppe,|arriver|
4b97d54f-a4bb-4d9d-a3b0-ab3475b48b25,"eneas1, p. 93, v. 3029",ce est la terre et le païs que Jupiter lor ot promis . El Toivre,ariverent,"les nez , il metent jus sinles et tres , aancré sont , mais ne",VERcjg,|arriver|
6afb482c-9a9c-410d-9f52-cd77d9a7c49c,"eneas1, p. 98, v. 3192","nos ont botez a mainz rivages ; le mont avons avironé , el Teivre somes",arivé,"; la est remés la genz menue , qui a grant anviz se remue .",VERppe,|arriver|
cdd39820-83c1-4d69-b81c-ec3223a1288f,"eneas1, p. 104, v. 3415","est novelment uns hom venuz de çaus de Troie , des veincuz . El Toivre",ariva,"des l' autr' ier , au roi vindrent si mesagier por pais et por seürté",VERcjg,|arriver|
f3c968a1-b02b-46d1-b45e-f5921b1ece18,"eneas1, p. 106, v. 3459",al mesagier : « Bien l' oï dire des l' autr' ier que Eneas ert,arivez,"; mais icist plaiz m' estoit celez , que Latinus li dont son regne ne",VERppe,|ariver|arriver|
b813be4f-1d28-402c-9f6e-dee5d07fc95c,"eneas1, p. 116, v. 3786",a Laurente an est venue ; ce dïent tuit par la cité que Troïen sont,arivé,", qui a essil mettent la terre , come la gent qui aiment guerre ;",VERppe,|arriver|
11c22265-708c-4fc4-a3b2-539b0f03981a,"eneas1, p. 126, v. 4141","ce sont Troïen venu puis ques orent li Greu vencu , an cest païs sont",arivé,", ci pres ont un chastel fermé , ardent et robent lo païs et un",VERppe,|arriver|
4721edf5-0754-447e-9032-ba050e9e3e91,"eneas1, p. 132, v. 4313","Sire , fait ele , que feras ? Ge voi que mes fiz Eneas est",arivez,"an Lonbardie o asez po de compaignie ; vers lo rivage s' est antrait ,",VERppe,|ariver|arriver|
b70a3ba0-7920-402b-b65b-f515e8add3f3,"eneas1, p. 171, v. 5603",d' aus sont navré a mort . Il ont gardé aval al port et voient,ariver,"les nes et metre jus sigles et tres ; sorent que Eneas venoit , qui",VERinf,|arriver|
c1ce3203-d503-481d-812b-0a0201597391,"eneas1, p. 171, v. 5609","s' escrïerent , molt firent mal , trop se hasterent , car s' il peüssent",ariver,"an pes , issir et aus armer et peüssent celeement , venir an l' ost",VERinf,|arriver|
519297aa-05e8-4df7-bda5-b3d82e2b6465,"eneas1, p. 171, v. 5621",", qui a terre vienent o naige : se il n' i sunt a l'",ariver,", il i porront ja meschever . Turnus les voit , lo chastel lait ,",VERinf,|ariver|
cfbb7dba-e843-4f24-bac6-7ef6291548a9,"eneas1, p. 178, v. 5840","forment , n' i vendra pas hastivement , ainçois verra tier jor passé . Il",ariva,soz la cité dont Daumus ses pere ert sire . Il ot grant duel et,VERcjg,|arriver|
d86d2b2f-856a-49d3-84ca-db190e858ff3,"eneas2, p. 105, v. 9367","otroiee m' ont tote Itaire , qui fu mon aire et mon besaire . Quant",arivai,"an cest païs , mes mesages al roi tramis , que me consantist an sa",VERcjg,|arriver|
e67d3537-007e-4991-bd98-c2aaa373bb64,"eneas2, p. 124, v. 9992","proz . Qui torment a eü an mer , plus se fait liez a l'",ariver,que s' il l' avoit seürement passee sanz altre torment ; quant a eü peor,VERinf,|ariver|
81cdcad0-d053-4be0-a32c-74f4cb907455,"floire_jl, p. 20, v. 60","ot grant compaigne . O sa nef ot la mer passee , en Galisse fu",arivee,". Felis ot non , si fu paiiens , mer ot passé sor crestiiens por",VERppe,|arriver|
98199b85-1d32-42ba-82aa-1fab1d7b5207,"floire_jl, p. 22, v. 118",et joiant . Il n' orent pas . jors erré k' en lor païs sont,arivé,. Atant est issus el rivage li rois o trestot son barnage . A Naples,VERppe,|arriver|
